_id,trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
221,1272020,12,11,Oakland Amtrak at Jack London Square,"",0,12007,shp-12-53,0,0
222,7231020,12,11,Oakland Amtrak at Jack London Square,"",0,12002,shp-12-53,0,0
223,6599010,12,37,Oakland Amtrak at Jack London Square,"",0,12005,shp-12-53,0,0
224,1547020,12,11,Oakland Amtrak at Jack London Square,"",0,12004,shp-12-53,0,0
225,11200020,12,11,Oakland Amtrak at Jack London Square,"",0,12001,shp-12-53,0,0
226,12628070,12,52,Oakland Amtrak at Jack London Square,"",0,12006,shp-12-53,0,0
227,9545010,12,37,Oakland Amtrak at Jack London Square,"",0,12005,shp-12-53,0,0
228,6201070,12,52,Oakland Amtrak at Jack London Square,"",0,12002,shp-12-53,0,0
229,6250160,12,41,Oakland Amtrak at Jack London Square,"",0,12009,shp-12-53,0,0
230,8558070,12,52,Oakland Amtrak at Jack London Square,"",0,12002,shp-12-53,0,0
231,14073010,12,37,Oakland Amtrak at Jack London Square,"",0,12006,shp-12-53,0,0
232,12267020,12,11,Oakland Amtrak at Jack London Square,"",0,12005,shp-12-53,0,0
233,11599010,12,37,Oakland Amtrak at Jack London Square,"",0,12002,shp-12-53,0,0
234,8436020,12,11,Oakland Amtrak at Jack London Square,"",0,12001,shp-12-53,0,0
235,11902070,12,52,Oakland Amtrak at Jack London Square,"",0,12005,shp-12-53,0,0
236,980160,12,41,Oakland Amtrak at Jack London Square,"",0,12009,shp-12-53,0,0
237,13790070,12,52,Oakland Amtrak at Jack London Square,"",0,12004,shp-12-53,0,0
238,5020,12,11,Oakland Amtrak at Jack London Square,"",0,12001,shp-12-53,0,0
239,5212020,12,11,Oakland Amtrak at Jack London Square,"",0,12004,shp-12-53,0,0
240,9912070,12,52,Oakland Amtrak at Jack London Square,"",0,12002,shp-12-53,0,0
241,3279020,12,11,Oakland Amtrak at Jack London Square,"",0,12008,shp-12-53,0,0
242,9994010,12,37,Oakland Amtrak at Jack London Square,"",0,12005,shp-12-53,0,0
243,10973020,12,11,Oakland Amtrak at Jack London Square,"",0,12002,shp-12-53,0,0
244,11403020,12,11,Oakland Amtrak at Jack London Square,"",0,12002,shp-12-53,0,0
245,10277020,12,11,Oakland Amtrak at Jack London Square,"",0,12004,shp-12-53,0,0
246,3009010,12,37,Oakland Amtrak at Jack London Square,"",0,12003,shp-12-53,0,0
247,3943070,12,52,Oakland Amtrak at Jack London Square,"",0,12001,shp-12-53,0,0
248,8330010,12,37,Oakland Amtrak at Jack London Square,"",0,12001,shp-12-53,0,0
249,7237070,12,52,Oakland Amtrak at Jack London Square,"",0,12006,shp-12-53,0,0
